"Name,""SI"",""Handles"",""VM"",""WS"",""PM"",""NPM"",""Path"",""Company"",""CPU"",""FileVersion"",""ProductVersion"",""Description"",""Product"",""__NounName"",""BasePriority"",""ExitCode"",""HasExited"",""ExitTime"",""Handle"",""SafeHandle"",""HandleCount"",""Id"",""MachineName"",""MainWindowHandle"",""MainWindowTitle"",""MainModule"",""MaxWorkingSet"",""MinWorkingSet"",""Modules"",""NonpagedSystemMemorySize"",""NonpagedSystemMemorySize64"",""PagedMemorySize"",""PagedMemorySize64"",""PagedSystemMemorySize"",""PagedSystemMemorySize64"",""PeakPagedMemorySize"",""PeakPagedMemorySize64"",""PeakWorkingSet"",""PeakWorkingSet64"",""PeakVirtualMemorySize"",""PeakVirtualMemorySize64"",""PriorityBoostEnabled"",""PriorityClass"",""PrivateMemorySize"",""PrivateMemorySize64"",""PrivilegedProcessorTime"",""ProcessName"",""ProcessorAffinity"",""Responding"",""SessionId"",""StartInfo"",""StartTime"",""SynchronizingObject"",""Threads"",""TotalProcessorTime"",""UserProcessorTime"",""VirtualMemorySize"",""VirtualMemorySize64"",""EnableRaisingEvents"",""StandardInput"",""StandardOutput"",""StandardError"",""WorkingSet"",""WorkingSet64"",""Site"",""Container"""
"LockApp,""1"",""516"",""2203795251200"",""34385920"",""12492800"",""25608"",""C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"",""Microsoft Corporation"",""1,78125"",""10.0.18362.329 (WinBuild.160101.0800)"",""10.0.18362.329"",""LockApp.exe"",""Microsoft? Windows? Operating System"",""Process"",""8"",,""False"",,""3976"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""516"",""10212"",""."",""0"","""",""System.Diagnostics.ProcessModule (LockApp.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""25608"",""25608"",""12492800"",""12492800"",""611112"",""611112"",""13991936"",""13991936"",""51662848"",""51662848"",""492118016"",""2203810340864"",""True"",""Normal"",""12492800"",""12492800"",""00:00:00.6406250"",""LockApp"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:07 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:01.7812500"",""00:00:01.1406250"",""477028352"",""2203795251200"",""False"",,,,""34385920"",""34385920"",,"
"lsass,""0"",""1895"",""2203410620416"",""16728064"",""8536064"",""24576"",,,,,,,,""Process"",""9"",,,,,,""1895"",""800"",""."",""0"","""",,,,,""24576"",""24576"",""8536064"",""8536064"",""144848"",""144848"",""8552448"",""8552448"",""19304448"",""19304448"",""93970432"",""2203412193280"",,,""8536064"",""8536064"",,""lsass"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""92397568"",""2203410620416"",""False"",,,,""16728064"",""16728064"",,"
"Memory Compression,""0"",""0"",""441188352"",""75296768"",""966656"",""0"",,,,,,,,""Process"",""8"",,,,,,""0"",""2340"",""."",""0"","""",,,,,""0"",""0"",""966656"",""966656"",""4224"",""4224"",""974848"",""974848"",""360226816"",""360226816"",""463339520"",""463339520"",,,""966656"",""966656"",,""Memory Compression"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""441188352"",""441188352"",""False"",,,,""75296768"",""75296768"",,"
"Microsoft.Photos,""1"",""778"",""5339369472"",""172032"",""48259072"",""49488"",""C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2019.19071.17920.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe"",""Microsoft Corporation"",""1,84375"",""2019.19071.17920.00000"",""2019.19071.1792000000-release2019.08"",""Microsoft.Photos.exe"",""Microsoft Photos"",""Process"",""8"",,""False"",,""2164"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""778"",""4384"",""."",""0"","""",""System.Diagnostics.ProcessModule (Microsoft.Photos.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""49488"",""49488"",""48259072"",""48259072"",""808912"",""808912"",""49446912"",""49446912"",""107167744"",""107167744"",""1052782592"",""5347749888"",""True"",""Normal"",""48259072"",""48259072"",""00:00:00.7968750"",""Microsoft.Photos"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 5:34:51 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:01.8437500"",""00:00:01.0468750"",""1044402176"",""5339369472"",""False"",,,,""172032"",""172032"",,"
"MicrosoftEdge,""1"",""1154"",""2203989520384"",""78786560"",""28745728"",""65456"",""C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdge.exe"",""Microsoft Corporation"",""2,375"",""11.00.18362.418 (WinBuild.160101.0800)"",""11.00.18362.418"",""Microsoft Edge"",""Microsoft Edge"",""Process"",""8"",,""False"",,""1972"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""1154"",""1404"",""."",""134310"",""Microsoft Edge"",""System.Diagnostics.ProcessModule (MicrosoftEdge.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""65456"",""65456"",""28745728"",""28745728"",""905064"",""905064"",""32346112"",""32346112"",""94089216"",""94089216"",""707190784"",""2204025413632"",""True"",""Normal"",""28745728"",""28745728"",""00:00:01.1250000"",""MicrosoftEdge"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:55:58 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:02.3750000"",""00:00:01.2500000"",""671297536"",""2203989520384"",""False"",,,,""78786560"",""78786560"",,"
"MicrosoftEdgeCP,""1"",""710"",""2238443696128"",""69844992"",""32047104"",""41216"",""C:\Windows\System32\MicrosoftEdgeCP.exe"",""Microsoft Corporation"",""1,5625"",""11.00.18362.1 (WinBuild.160101.0800)"",""11.00.18362.1"",""Microsoft Edge Content Process"",""Microsoft Edge Web Platform"",""Process"",""8"",,""False"",,""2816"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""710"",""11120"",""."",""134238"",""Microsoft Edge"",""System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""41216"",""41216"",""32047104"",""32047104"",""1108736"",""1108736"",""39038976"",""39038976"",""80375808"",""80375808"",""780632064"",""2238458593280"",""True"",""Normal"",""32047104"",""32047104"",""00:00:00.8593750"",""MicrosoftEdgeCP"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:55:59 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:01.5625000"",""00:00:00.7031250"",""765734912"",""2238443696128"",""False"",,,,""69844992"",""69844992"",,"
"MicrosoftEdgeCP,""1"",""475"",""2237890490368"",""25927680"",""5840896"",""21872"",""C:\Windows\System32\MicrosoftEdgeCP.exe"",""Microsoft Corporation"",""0,15625"",""11.00.18362.1 (WinBuild.160101.0800)"",""11.00.18362.1"",""Microsoft Edge Content Process"",""Microsoft Edge Web Platform"",""Process"",""8"",,""False"",,""1752"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""475"",""18120"",""."",""331020"",""Microsoft Edge"",""System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""21872"",""21872"",""5840896"",""5840896"",""334760"",""334760"",""6172672"",""6172672"",""26947584"",""26947584"",""217477120"",""2237895438336"",""True"",""Normal"",""5840896"",""5840896"",""00:00:00.1250000"",""MicrosoftEdgeCP"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:56:46 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.1562500"",""00:00:00.0312500"",""212529152"",""2237890490368"",""False"",,,,""25927680"",""25927680"",,"
"MicrosoftEdgeSH,""1"",""261"",""2237836718080"",""14966784"",""4206592"",""13896"",""C:\Windows\system32\MicrosoftEdgeSH.exe"",""Microsoft Corporation"",""0,125"",""11.00.18362.1 (WinBuild.160101.0800)"",""11.00.18362.1"",""Microsoft Edge Web Platform"",""Microsoft Edge Web Platform"",""Process"",""8"",,""False"",,""3044"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""261"",""12816"",""."",""0"","""",""System.Diagnostics.ProcessModule (MicrosoftEdgeSH.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""13896"",""13896"",""4206592"",""4206592"",""243976"",""243976"",""4956160"",""4956160"",""15953920"",""15953920"",""163065856"",""2237841027072"",""True"",""Normal"",""4206592"",""4206592"",""00:00:00.0781250"",""MicrosoftEdgeSH"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:55:59 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.1250000"",""00:00:00.0468750"",""158756864"",""2237836718080"",""False"",,,,""14966784"",""14966784"",,"
"msdtc,""0"",""213"",""2203403231232"",""6152192"",""4104192"",""13160"",,,,,,,,""Process"",""8"",,,,,,""213"",""3932"",""."",""0"","""",,,,,""13160"",""13160"",""4104192"",""4104192"",""91576"",""91576"",""4325376"",""4325376"",""11964416"",""11964416"",""87105536"",""2203405328384"",,,""4104192"",""4104192"",,""msdtc"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""85008384"",""2203403231232"",""False"",,,,""6152192"",""6152192"",,"
"node,""1"",""745"",""297742336"",""28499968"",""37535744"",""51232"",""C:\Program Files (x86)\Adobe\Adobe Creative Cloud Experience\libs\node.exe"",""Node.js"",""43,875"",""8.16.0"",""8.16.0"",""Node.js: Server-side JavaScript"",""Node.js"",""Process"",""8"",,""False"",,""2064"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""745"",""11496"",""."",""0"","""",""System.Diagnostics.ProcessModule (node.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""51232"",""51232"",""37535744"",""37535744"",""422240"",""422240"",""53837824"",""53837824"",""78946304"",""78946304"",""337403904"",""337403904"",""True"",""Normal"",""37535744"",""37535744"",""00:00:30.0468750"",""node"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:24 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:43.8750000"",""00:00:13.8281250"",""297742336"",""297742336"",""False"",,,,""28499968"",""28499968"",,"
"node,""1"",""834"",""5584740352"",""34680832"",""59338752"",""143168"",""C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\libs\node.exe"",""Node.js"",""41,109375"",""8.11.4"",""8.11.4"",""Node.js: Server-side JavaScript"",""Node.js"",""Process"",""8"",,""False"",,""2696"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""834"",""11832"",""."",""0"","""",""System.Diagnostics.ProcessModule (node.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""143168"",""143168"",""59338752"",""59338752"",""478440"",""478440"",""84189184"",""84189184"",""101830656"",""101830656"",""1300545536"",""5595512832"",""True"",""Normal"",""59338752"",""59338752"",""00:00:28.5312500"",""node"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:34 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:41.1093750"",""00:00:12.5781250"",""1289773056"",""5584740352"",""False"",,,,""34680832"",""34680832"",,"
"notepad,""1"",""255"",""2203480842240"",""13996032"",""3227648"",""14872"",""C:\Windows\system32\NOTEPAD.EXE"",""Microsoft Corporation"",""3,09375"",""10.0.18362.418 (WinBuild.160101.0800)"",""10.0.18362.418"",""Bloc de notas"",""Sistema operativo Microsoft? Windows?"",""Process"",""8"",,""False"",,""3088"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""255"",""8436"",""."",""264150"",""PENDIENTES.txt: Bloc de notas"",""System.Diagnostics.ProcessModule (NOTEPAD.EXE)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""14872"",""14872"",""3227648"",""3227648"",""240328"",""240328"",""3440640"",""3440640"",""17326080"",""17326080"",""168407040"",""2203486629888"",""True"",""Normal"",""3227648"",""3227648"",""00:00:02.2187500"",""notepad"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 7:35:06 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:03.0937500"",""00:00:00.8750000"",""162619392"",""2203480842240"",""False"",,,,""13996032"",""13996032"",,"
"OfficeClickToRun,""0"",""684"",""2203578802176"",""38768640"",""36438016"",""26592"",,,,,,,,""Process"",""8"",,,,,,""684"",""5096"",""."",""0"","""",,,,,""26592"",""26592"",""36438016"",""36438016"",""290872"",""290872"",""81371136"",""81371136"",""92848128"",""92848128"",""292958208"",""2203611181056"",,,""36438016"",""36438016"",,""OfficeClickToRun"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""260579328"",""2203578802176"",""False"",,,,""38768640"",""38768640"",,"
"pcdrwi,""0"",""681"",""5139394560"",""47443968"",""99282944"",""59824"",,,,,,,,""Process"",""8"",,,,,,""681"",""2200"",""."",""0"","""",,,,,""59824"",""59824"",""99282944"",""99282944"",""507184"",""507184"",""179376128"",""179376128"",""166137856"",""166137856"",""962134016"",""5257101312"",,,""99282944"",""99282944"",,""pcdrwi"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""844427264"",""5139394560"",""False"",,,,""47443968"",""47443968"",,"
"PickerHost,""1"",""302"",""2203649912832"",""29855744"",""12124160"",""19184"",""C:\Windows\System32\PickerHost.Exe"",""Microsoft Corporation"",""0,25"",""10.0.18362.1 (WinBuild.160101.0800)"",""10.0.18362.1"",""File Picker UI Host"",""Microsoft? Windows? Operating System"",""Process"",""8"",,""False"",,""3184"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""302"",""15056"",""."",""0"","""",""System.Diagnostics.ProcessModule (PickerHost.Exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""19184"",""19184"",""12124160"",""12124160"",""402888"",""402888"",""12210176"",""12210176"",""31858688"",""31858688"",""332763136"",""2203650985984"",""True"",""Normal"",""12124160"",""12124160"",""00:00:00.1875000"",""PickerHost"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:09:22 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.2500000"",""00:00:00.0625000"",""331689984"",""2203649912832"",""False"",,,,""29855744"",""29855744"",,"
"powershell,""1"",""598"",""2204060098560"",""50061312"",""65933312"",""36208"",""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"",""Microsoft Corporation"",""12,734375"",""10.0.18362.418 (WinBuild.160101.0800)"",""10.0.18362.418"",""Windows PowerShell"",""Sistema operativo Microsoft? Windows?"",""Process"",""8"",,""False"",,""2812"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""598"",""14156"",""."",""722638"",""Windows PowerShell"",""System.Diagnostics.ProcessModule (powershell.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""36208"",""36208"",""65933312"",""65933312"",""556176"",""556176"",""85966848"",""85966848"",""98807808"",""98807808"",""749821952"",""2204068044800"",""True"",""Normal"",""65933312"",""65933312"",""00:00:08.5781250"",""powershell"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 7:49:11 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:12.7656250"",""00:00:04.1875000"",""741875712"",""2204060098560"",""False"",,,,""50061312"",""50061312"",,"
"RAVBg64,""1"",""349"",""4455002112"",""13352960"",""12001280"",""18560"",""C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe"",""Realtek Semiconductor"",""2,6875"",""1, 0, 0, 271"",""1, 0, 0, 271"",""HD Audio Background Process"",""HD Audio Background Process"",""Process"",""8"",,""False"",,""3396"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""349"",""1208"",""."",""0"","""",""System.Diagnostics.ProcessModule (RAVBg64.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""18560"",""18560"",""12001280"",""12001280"",""226256"",""226256"",""15396864"",""15396864"",""22433792"",""22433792"",""166641664"",""4461608960"",""True"",""Normal"",""12001280"",""12001280"",""00:00:02.0156250"",""RAVBg64"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:18 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:02.6875000"",""00:00:00.6718750"",""160034816"",""4455002112"",""False"",,,,""13352960"",""13352960"",,"
"RAVBg64,""1"",""317"",""4443643904"",""12824576"",""6385664"",""15424"",,,,,,,,""Process"",""8"",,,,,,""317"",""3668"",""."",""0"","""",,,,,""15424"",""15424"",""6385664"",""6385664"",""221640"",""221640"",""6598656"",""6598656"",""15654912"",""15654912"",""156016640"",""4450983936"",,,""6385664"",""6385664"",,""RAVBg64"",,""True"",""1"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""148676608"",""4443643904"",""False"",,,,""12824576"",""12824576"",,"
"RAVBg64,""1"",""312"",""4439699456"",""11689984"",""6184960"",""15016"",,,,,,,,""Process"",""8"",,,,,,""312"",""3680"",""."",""0"","""",,,,,""15016"",""15016"",""6184960"",""6184960"",""213776"",""213776"",""6328320"",""6328320"",""15597568"",""15597568"",""152072192"",""4447039488"",,,""6184960"",""6184960"",,""RAVBg64"",,""True"",""1"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""144732160"",""4439699456"",""False"",,,,""11689984"",""11689984"",,"
"RAVBg64,""1"",""295"",""4431843328"",""11317248"",""4689920"",""14136"",""C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe"",""Realtek Semiconductor"",""0,21875"",""1, 0, 0, 271"",""1, 0, 0, 271"",""HD Audio Background Process"",""HD Audio Background Process"",""Process"",""8"",,""False"",,""3964"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""295"",""9648"",""."",""0"","""",""System.Diagnostics.ProcessModule (RAVBg64.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""14136"",""14136"",""4689920"",""4689920"",""200288"",""200288"",""5120000"",""5120000"",""13443072"",""13443072"",""142118912"",""4437086208"",""True"",""Normal"",""4689920"",""4689920"",""00:00:00.1875000"",""RAVBg64"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:19 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.2187500"",""00:00:00.0312500"",""136876032"",""4431843328"",""False"",,,,""11317248"",""11317248"",,"
"Registry,""0"",""0"",""169623552"",""64880640"",""13099008"",""16728"",,,,,,,,""Process"",""8"",,,,,,""0"",""96"",""."",""0"","""",,,,,""16728"",""16728"",""13099008"",""13099008"",""335520"",""335520"",""72847360"",""72847360"",""138825728"",""138825728"",""210485248"",""210485248"",,,""13099008"",""13099008"",,""Registry"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""169623552"",""169623552"",""False"",,,,""64880640"",""64880640"",,"
"RegSrvc,""0"",""176"",""4398481408"",""7450624"",""1994752"",""10256"",,,,,,,,""Process"",""8"",,,,,,""176"",""4716"",""."",""0"","""",,,,,""10256"",""10256"",""1994752"",""1994752"",""134096"",""134096"",""2220032"",""2220032"",""9928704"",""9928704"",""110854144"",""4405821440"",,,""1994752"",""1994752"",,""RegSrvc"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""103514112"",""4398481408"",""False"",,,,""7450624"",""7450624"",,"
"RtkAudioService64,""0"",""230"",""4387115008"",""6213632"",""1888256"",""9304"",,,,,,,,""Process"",""8"",,,,,,""230"",""3592"",""."",""0"","""",,,,,""9304"",""9304"",""1888256"",""1888256"",""110912"",""110912"",""1998848"",""1998848"",""8294400"",""8294400"",""97390592"",""4392357888"",,,""1888256"",""1888256"",,""RtkAudioService64"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""92147712"",""4387115008"",""False"",,,,""6213632"",""6213632"",,"
"RtkNGUI64,""1"",""525"",""4512186368"",""18546688"",""11034624"",""21792"",""C:\Program Files\Realtek\Audio\HDA\RtkNGUI64.exe"",""Realtek Semiconductor"",""4,125"",""1.0.636.3"",""1.0.636.3"",""Realtek HD Audio Manager"",""Realtek HD USB Audio Manager"",""Process"",""8"",,""False"",,""3108"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""525"",""7464"",""."",""0"","""",""System.Diagnostics.ProcessModule (RtkNGUI64.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""21792"",""21792"",""11034624"",""11034624"",""318896"",""318896"",""31715328"",""31715328"",""42405888"",""42405888"",""249348096"",""4544315392"",""True"",""Normal"",""11034624"",""11034624"",""00:00:02.6718750"",""RtkNGUI64"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:17 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:04.1250000"",""00:00:01.4531250"",""217219072"",""4512186368"",""False"",,,,""18546688"",""18546688"",,"
"rundll32,""1"",""115"",""2203415506944"",""7815168"",""1884160"",""9448"",""C:\Windows\system32\rundll32.exe"",""Microsoft Corporation"",""0,140625"",""10.0.18362.418 (WinBuild.160101.0800)"",""10.0.18362.418"",""Proceso host de Windows (Rundll32)"",""Sistema operativo Microsoft? Windows?"",""Process"",""8"",,""False"",,""2204"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""115"",""2288"",""."",""0"","""",""System.Diagnostics.ProcessModule (rundll32.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""9448"",""9448"",""1884160"",""1884160"",""120096"",""120096"",""3342336"",""3342336"",""9424896"",""9424896"",""98873344"",""2203417096192"",""True"",""Normal"",""1884160"",""1884160"",""00:00:00.0156250"",""rundll32"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 5:42:55 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.1406250"",""00:00:00.1250000"",""97284096"",""2203415506944"",""False"",,,,""7815168"",""7815168"",,"
"RuntimeBroker,""1"",""154"",""2203413917696"",""7847936"",""2056192"",""9768"",""C:\Windows\System32\RuntimeBroker.exe"",""Microsoft Corporation"",""0,140625"",""10.0.18362.1 (WinBuild.160101.0800)"",""10.0.18362.1"",""Runtime Broker"",""Microsoft? Windows? Operating System"",""Process"",""8"",,""False"",,""2756"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""154"",""2760"",""."",""0"","""",""System.Diagnostics.ProcessModule (RuntimeBroker.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""9768"",""9768"",""2056192"",""2056192"",""119136"",""119136"",""2494464"",""2494464"",""9691136"",""9691136"",""99622912"",""2203417845760"",""True"",""Normal"",""2056192"",""2056192"",""00:00:00.1250000"",""RuntimeBroker"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:47:03 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.1406250"",""00:00:00.0156250"",""95694848"",""2203413917696"",""False"",,,,""7847936"",""7847936"",,"
"RuntimeBroker,""1"",""218"",""2203441954816"",""13561856"",""3010560"",""12032"",""C:\Windows\System32\RuntimeBroker.exe"",""Microsoft Corporation"",""0,453125"",""10.0.18362.1 (WinBuild.160101.0800)"",""10.0.18362.1"",""Runtime Broker"",""Microsoft? Windows? Operating System"",""Process"",""8"",,""False"",,""3724"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""218"",""4816"",""."",""0"","""",""System.Diagnostics.ProcessModule (RuntimeBroker.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""12032"",""12032"",""3010560"",""3010560"",""176080"",""176080"",""4231168"",""4231168"",""18006016"",""18006016"",""133632000"",""2203451854848"",""True"",""Normal"",""3010560"",""3010560"",""00:00:00.2812500"",""RuntimeBroker"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:45:01 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.4531250"",""00:00:00.1718750"",""123731968"",""2203441954816"",""False"",,,,""13561856"",""13561856"",,"
"RuntimeBroker,""1"",""421"",""2203533512704"",""32825344"",""9678848"",""22808"",""C:\Windows\System32\RuntimeBroker.exe"",""Microsoft Corporation"",""1"",""10.0.18362.1 (WinBuild.160101.0800)"",""10.0.18362.1"",""Runtime Broker"",""Microsoft? Windows? Operating System"",""Process"",""8"",,""False"",,""3800"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""421"",""6052"",""."",""0"","""",""System.Diagnostics.ProcessModule (RuntimeBroker.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""22808"",""22808"",""9678848"",""9678848"",""316144"",""316144"",""11894784"",""11894784"",""40992768"",""40992768"",""256651264"",""2203574874112"",""True"",""Normal"",""9678848"",""9678848"",""00:00:00.5156250"",""RuntimeBroker"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:55:59 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:01"",""00:00:00.4843750"",""215289856"",""2203533512704"",""False"",,,,""32825344"",""32825344"",,"
"RuntimeBroker,""1"",""326"",""2203474038784"",""20873216"",""6303744"",""18136"",""C:\Windows\System32\RuntimeBroker.exe"",""Microsoft Corporation"",""2,40625"",""10.0.18362.1 (WinBuild.160101.0800)"",""10.0.18362.1"",""Runtime Broker"",""Microsoft? Windows? Operating System"",""Process"",""8"",,""False"",,""2124"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""326"",""8812"",""."",""0"","""",""System.Diagnostics.ProcessModule (RuntimeBroker.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""18136"",""18136"",""6303744"",""6303744"",""231664"",""231664"",""9351168"",""9351168"",""32903168"",""32903168"",""194027520"",""2203512250368"",""True"",""Normal"",""6303744"",""6303744"",""00:00:01.1093750"",""RuntimeBroker"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:01 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:02.4062500"",""00:00:01.2968750"",""155815936"",""2203474038784"",""False"",,,,""20873216"",""20873216"",,"
"RuntimeBroker,""1"",""714"",""2203585343488"",""27463680"",""13787136"",""31160"",""C:\Windows\System32\RuntimeBroker.exe"",""Microsoft Corporation"",""3,53125"",""10.0.18362.1 (WinBuild.160101.0800)"",""10.0.18362.1"",""Runtime Broker"",""Microsoft? Windows? Operating System"",""Process"",""8"",,""False"",,""3024"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""714"",""9148"",""."",""0"","""",""System.Diagnostics.ProcessModule (RuntimeBroker.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""31160"",""31160"",""13787136"",""13787136"",""444776"",""444776"",""15564800"",""15564800"",""50782208"",""50782208"",""294236160"",""2203612459008"",""True"",""Normal"",""13787136"",""13787136"",""00:00:01.6562500"",""RuntimeBroker"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:03 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:03.5312500"",""00:00:01.8750000"",""267120640"",""2203585343488"",""False"",,,,""27463680"",""27463680"",,"
